K-mer Frequency Distribution
===========================
Frequency	Count
1	68646
2	86548
3	31832
4	29668
5	4158
6	23374
7	4764
8	11206
9	8354
10	11514
11	3150
12	18648
13	4262
14	8370
15	1324
16	11082
17	3598
18	7078
19	788
20	8934
21	558
22	3934
23	472
24	4404
25	1232
26	2810
27	630
28	2202
29	1164
30	1588
31	278
32	1222
33	386
34	1406
35	558
36	1804
37	480
38	1258
39	460
40	1628
41	400
42	1430
43	656
44	2412
45	1212
46	1502
47	124
48	422
49	222
50	716
51	290
52	588
53	414
54	484
55	394
56	366
57	270
58	534
59	324
60	576
61	64
62	1364
63	342
64	210
65	94
66	376
67	112
68	202
69	160
70	378
71	346
72	356
73	854
74	244
75	310
76	284
77	508
78	392
79	174
80	626
81	324
82	270
83	154
84	452
85	486
86	542
87	454
88	1186
89	1534
90	5856
91	450
92	5068
93	1024
94	1646
95	4594
96	4556
97	910
98	1430
99	3008
100	13032
101	64
102	342
103	22
104	266
105	48
106	376
107	50
108	250
109	78
110	610
111	20
112	1474
113	32
114	568
115	4
116	78
117	12
118	154
119	36
120	96
121	28
122	214
123	6
124	226
125	20
126	222
127	28
128	202
129	4
130	270
131	12
132	470
133	10
134	158
136	114
138	184
139	36
140	102
141	14
142	130
143	2
144	224
145	12
146	50
147	12
148	92
150	264
152	140
153	2
154	60
155	6
156	214
157	8
158	128
159	8
160	134
161	12
162	80
163	6
164	108
165	12
166	68
167	2
168	296
169	18
170	56
172	26
173	14
174	32
175	10
176	2
178	12
179	18
180	92
182	64
183	14
184	74
185	32
186	188
187	2
188	2912
189	20
190	132
191	16
192	160
193	6
194	3066
195	8
196	22
197	10
198	2
199	14
200	24
201	10
203	4
204	12
205	12
206	2
207	6
209	12
210	12
212	4
213	8
216	6
217	4
218	4
219	10
224	2
234	6
246	4
247	2
253	2
278	6
281	6
284	4
286	12
300	2
301	4
306	6
307	6
308	2
310	4
311	14
314	2
320	8
328	6
341	6
376	8
383	2
444	6
566	2
