species,gene
Citrobacter_freundii,qnrB38
Citrobacter_werkmanii,qnrB69
Enterobacter_hormaechei,qnrS1
Vibrio_cholerae,qnrVC1
Klebsiella_pneumoniae,qnrB1
Salmonella_enterica,qnrB19
Enterobacter_hormaechei,qnrA1
Enterobacter_asburiae,qnrE4
Vibrio_parahaemolyticus,qnrS2
Salmonella_enterica,qnrE1
Shewanella_algae,qnrA3
Vibrio_cholerae,qnrVC5
Morganella_morganii,qepA1
Klebsiella_pneumoniae,qnrB9
Escherichia_coli,qepA9
Vibrio_cholerae,qnrVC4
Escherichia_coli,qnrB2
Citrobacter_braakii,qnrB10
Providencia_stuartii,qnrB4
Citrobacter_braakii,qnrB71
Enterobacter_mori,qnrE3
Shewanella_algae,qnrA7
Shewanella_algae,qnrA4
Providencia_rettgeri,qnrD1
Citrobacter_werkmanii,qnrB12
Escherichia_coli,qnrS4
Serratia_marcescens,qnrB6
Shigella_flexneri,qnrS13
Vibrio_vulnificus,qnrVC9
Citrobacter_freundii,qnrB35
Vibrio_alginolyticus,qnrVC10
Escherichia_coli,qnrB94
Enterobacter_asburiae,qnrE7
Klebsiella_pneumoniae,qnrB91
Acinetobacter_pittii,qnrVC6
Shewanella_algae,qnrA12
Citrobacter_freundii,qnrB60
Enterobacter_mori,qnrE2
Shewanella_algae,qnrA2
Citrobacter_pasteurii,qnrB98
Citrobacter_youngae,qnrB39
Escherichia_coli,qepA4
Citrobacter_freundii,qnrB28
Salmonella_enterica,qepA8
Escherichia_coli,qnrB7
Citrobacter_werkmanii,qnrB65
Citrobacter_braakii,qnrB70
Citrobacter_braakii,qnrB68
Citrobacter_braakii,qnrB47
Citrobacter_braakii,qnrB40
Citrobacter_braakii,qnrB61
Shewanella_algae,qnrA6
Shewanella_algae,qnrA10
Klebsiella_pneumoniae,qnrB52
Citrobacter_braakii,qnrB50
Vibrio_metoecus,qnrVC7
Vibrio_vulnificus,qnrVC8
Citrobacter_braakii,qnrB67
Citrobacter_braakii,qnrB36
Proteus_mirabilis,qnrD2
Proteus_mirabilis,qnrD3
Escherichia_coli,qepA7
Enterobacter_mori,qnrE5
Citrobacter_werkmanii,qnrB84
Escherichia_coli,qnrB77
Escherichia_coli,qnrS11
Escherichia_coli,qnrS12
Klebsiella_pneumoniae,qnrB17
Enterobacter_cloacae,qnrA9
Escherichia_coli,qnrB5
Escherichia_coli,qepA6
Salmonella_enterica,qepA2
Klebsiella_pneumoniae,qnrB3
Enterobacter_hormaechei,qnrS14
Citrobacter_freundii,qnrB32
Escherichia_coli,qepA10
Klebsiella_pneumoniae,qnrB95
Klebsiella_pneumoniae,qnrB13
