gene_name	drug_class	read_count	rpkm	tpm	coverage_depth	coverage_breadth
aacA-ACI5	AMINOGLYCOSIDE	34	7.55	8393.60	0.23	33.33
aph(3'')-Ia	AMINOGLYCOSIDE	1	0.12	132.93	0.00	13.19
aph(3'')-Ic	AMINOGLYCOSIDE	91	11.65	12950.54	0.36	19.61
aph(3')-IIIa	AMINOGLYCOSIDE	11	1.35	1506.38	0.04	15.09
ant(3'')-Ia	AMINOGLYCOSIDE	1	0.12	138.51	0.00	11.07
aacA-ACI5	AMINOGLYCOSIDE	2	0.44	493.74	0.01	32.65
ant(2'')-Ia	AMINOGLYCOSIDE	7	1.28	1427.13	0.04	27.53
aac(6')-set_A	AMINOGLYCOSIDE	1	0.18	196.16	0.01	10.81
aac(6')-Ib-AKT	AMINOGLYCOSIDE	3	0.53	588.49	0.02	27.03
aac(6')_Strep	AMINOGLYCOSIDE	1	0.20	218.61	0.01	24.70
aacA34	AMINOGLYCOSIDE	1	0.22	246.87	0.01	17.69
aac(3)-VIII	AMINOGLYCOSIDE	13	1.47	1638.09	0.05	15.62
aac(3)-I	AMINOGLYCOSIDE	2	0.42	468.26	0.01	30.32
aac(3)-VIa	AMINOGLYCOSIDE	18	1.96	2177.40	0.06	16.67
aac(6')-Iaf	AMINOGLYCOSIDE	12	2.13	2366.74	0.07	27.17
aac(6')_E963	AMINOGLYCOSIDE	2	0.42	471.30	0.01	31.82
aac(6')-Ib-G	AMINOGLYCOSIDE	2	0.35	392.32	0.01	20.00
aac(2')-IIa	AMINOGLYCOSIDE	5	0.63	695.21	0.02	7.66
aac(6')_Serra	AMINOGLYCOSIDE	2	0.44	493.74	0.01	16.33
aac(6')_Serra	AMINOGLYCOSIDE	96	21.31	23699.57	0.65	34.01
aac(6')-Ib-cr5	AMINOGLYCOSIDE	1	0.18	196.16	0.01	19.46
aph(3')-XV	AMINOGLYCOSIDE	14	1.72	1917.21	0.05	16.98
aac(6')-Il	AMINOGLYCOSIDE	1	0.21	237.19	0.01	26.80
aac(6')-Il	AMINOGLYCOSIDE	14	2.99	3320.65	0.09	16.99
aac(6')-Is	AMINOGLYCOSIDE	179	39.74	44189.82	1.22	34.01
aacA37	AMINOGLYCOSIDE	199	48.46	53893.31	1.49	37.31
ant(3'')-IIa	AMINOGLYCOSIDE	3	0.37	413.95	0.01	7.60
aac(6')-Il	AMINOGLYCOSIDE	2	0.43	474.38	0.01	32.68
aac(6')-Ib-G	AMINOGLYCOSIDE	1	0.18	196.16	0.01	27.03
aac(2')-Id	AMINOGLYCOSIDE	10	1.55	1719.90	0.05	23.70
aac(6')-Ib-AKT	AMINOGLYCOSIDE	25	4.41	4904.05	0.14	27.03
aac(6')-Id	AMINOGLYCOSIDE	298	64.83	72096.07	1.99	33.33
ant(2'')-Ia	AMINOGLYCOSIDE	22	4.03	4485.28	0.12	28.09
aacA43	AMINOGLYCOSIDE	2	0.35	386.06	0.01	11.17
aac(3)-IId	AMINOGLYCOSIDE	1	0.11	126.45	0.00	11.50
aac(3)-IIe	AMINOGLYCOSIDE	3	0.34	379.34	0.01	9.06
aac(6')-Ib-G	AMINOGLYCOSIDE	23	4.06	4511.73	0.12	27.03
aac(6')-Ib-G	AMINOGLYCOSIDE	7	1.23	1373.13	0.04	16.22
aph(3')-Va	AMINOGLYCOSIDE	2	0.24	269.81	0.01	14.50
ant(3'')-IIa	AMINOGLYCOSIDE	1	0.12	137.98	0.00	18.63
aph(3'')-Ib	AMINOGLYCOSIDE	1	0.12	135.41	0.00	7.46
aacA-ENT1	AMINOGLYCOSIDE	1	0.18	198.31	0.01	26.23
