gene_name	gene_family	drug_class	read_count	percent_coverage	mean_depth	tpkm	rpm	confidence
aac(2')-IIa	aac(2')	AMINOGLYCOSIDE	5	0	0	0	0	LOW
aac(2')-Ib	aac(2')	AMINOGLYCOSIDE	6	20.9184	2	0	0	HIGH
aac(2')-Id	aac(2')	AMINOGLYCOSIDE	22	37.9147	10.7625	0	0	HIGH
aac(3)-I	aac(3)	AMINOGLYCOSIDE	9	15.4839	1	0	0	MODERATE
aac(3)-IId	aac(3)	AMINOGLYCOSIDE	2	20.5575	1	0	0	MODERATE
aac(3)-IIe	aac(3)	AMINOGLYCOSIDE	3	16.3763	1.55319	0	0	MODERATE
aac(3)-IVb	aac(3)	AMINOGLYCOSIDE	18	10.9023	1.68966	0	0	MODERATE
aac(3)-Ia	aac(3)	AMINOGLYCOSIDE	3	0	0	0	0	LOW
aac(3)-Ic	aac(3)	AMINOGLYCOSIDE	3	15.2866	1	0	0	MODERATE
aac(3)-Id	aac(3)	AMINOGLYCOSIDE	1	9.43396	1	0	0	LOW
aac(3)-Ih	aac(3)	AMINOGLYCOSIDE	3	0	0	0	0	LOW
aac(3)-VIII	aac(3)	AMINOGLYCOSIDE	18	15.2778	1.97727	0	0	MODERATE
aac(3)-VIa	aac(3)	AMINOGLYCOSIDE	21	26.6667	10.3875	0	0	HIGH
aac(3)-XI	aac(3)	AMINOGLYCOSIDE	5	0	0	0	0	LOW
aac(6')-31	aac(6')	AMINOGLYCOSIDE	8	17.2973	1.84375	0	0	MODERATE
aac(6')-35	aac(6')	AMINOGLYCOSIDE	253	52.2222	52.8085	0	0	HIGH
aac(6')-F72	aac(6')	AMINOGLYCOSIDE	1	25	1	0	0	LOW
aac(6')-I30	aac(6')	AMINOGLYCOSIDE	3	22.7027	2.71429	0	0	HIGH
aac(6')-IIc	aac(6')	AMINOGLYCOSIDE	6	0	0	0	0	LOW
aac(6')-Ia	aac(6')	AMINOGLYCOSIDE	2829	37.0968	1480.8	0	0	HIGH
aac(6')-Iaa	aac(6')	AMINOGLYCOSIDE	13	0	0	0	0	LOW
aac(6')-Iae	aac(6')	AMINOGLYCOSIDE	1	0	0	0	0	LOW
aac(6')-Iaf	aac(6')	AMINOGLYCOSIDE	58	58.6956	13.037	0	0	HIGH
aac(6')-Iag	aac(6')	AMINOGLYCOSIDE	7	53.5714	3.36667	0	0	HIGH
aac(6')-Iai	aac(6')	AMINOGLYCOSIDE	2	25.9259	1.93878	0	0	MODERATE
aac(6')-Ib'	aac(6')	AMINOGLYCOSIDE	375	24.7619	8.25961	0	0	HIGH
aac(6')-Ib-AKT	aac(6')	AMINOGLYCOSIDE	12	24.3243	1.51111	0	0	MODERATE
aac(6')-Ib-D181Y	aac(6')	AMINOGLYCOSIDE	2	0	0	0	0	LOW
aac(6')-Ib-G	aac(6')	AMINOGLYCOSIDE	25	25.4054	3.59574	0	0	HIGH
aac(6')-Ib-cr11	aac(6')	AMINOGLYCOSIDE	3	0	0	0	0	LOW
aac(6')-Ib-cr4	aac(6')	AMINOGLYCOSIDE	1	16.7568	1	0	0	MODERATE
aac(6')-Ib-cr5	aac(6')	AMINOGLYCOSIDE	4	31.8919	1.38983	0	0	MODERATE
aac(6')-Ic	aac(6')	AMINOGLYCOSIDE	1	17.6871	1	0	0	MODERATE
aac(6')-Id	aac(6')	AMINOGLYCOSIDE	419	0	0	0	0	LOW
