gene_family	num_variants	variant_names	total_reads	total_tpm	mean_identity
aac(2')	2	aac(2')-Ib;aac(2')-Id	17	0	1.38356
aac(3)	7	aac(3)-I;aac(3)-IId;aac(3)-IVb;aac(3)-Id;aac(3)-VIII;aac(3)-VIa;aac(3)-XI	64	0	1.20009
aac(6')	21	aac(6')-31;aac(6')-35;aac(6')-F72;aac(6')-I30;aac(6')-Ia;aac(6')-Iaa;aac(6')-Iaf;aac(6')-Iag;aac(6')-Iai;aac(6')-Ib';aac(6')-Ib-AKT;aac(6')-Ib-D181Y;aac(6')-Ib-G;aac(6')-Ib-cr4;aac(6')-Ib-cr5;aac(6')-Ic;aac(6')-Id;aac(6')-Il;aac(6')-Is;aac(6')-It;aac(6')-Iu	2745	0	1.31403
aac(6')_E111	1	aac(6')_E111	41	0	1.08818
aac(6')_E550	1	aac(6')_E550	320	0	1.04049
aac(6')_E553	1	aac(6')_E553	171	0	1.03321
aac(6')_E606	1	aac(6')_E606	1	0	1.54489
aac(6')_E963	1	aac(6')_E963	1	0	1.58392
aac(6')_Entco	1	aac(6')_Entco	65	0	1.0414
aac(6')_Serra	1	aac(6')_Serra	40	0	1.08979
aac(6')_Strep	1	aac(6')_Strep	3	0	1.27003
aac(6')_Yersi	1	aac(6')_Yersi	4	0	1.65421
aacA	5	aacA-ACI4;aacA-ACI5;aacA-ENT1;aacA-ENT2;aacA-STR-7	512	0	1.06167
aacA34	1	aacA34	1	0	1.51282
aacA37	1	aacA37	289	0	1.05796
aacA47	1	aacA47	97	0	1.10265
ant(2'')	1	ant(2'')-Ia	303	0	1.0551
ant(3'')	2	ant(3'')-IIa;ant(3'')-Ia	3	0	1.31976
ant(6)	1	ant(6)-Ia	1	0	1.10206
aph(2'')	3	aph(2'')-IVa;aph(2'')-Ia;aph(2'')-If	56	0	1.06914
aph(3'')	2	aph(3'')-Ia;aph(3'')-Ic	136	0	1.08922
aph(3')	5	aph(3')-IIIa;aph(3')-Ia;aph(3')-Va;aph(3')-Vb;aph(3')-XV	241	0	1.15145
blaCMY	2	blaCMY-85;blaCMY-90	39	0	1.10098
blaCTX	16	blaCTX-M-112;blaCTX-M-113;blaCTX-M-147;blaCTX-M-151;blaCTX-M-161;blaCTX-M-173;blaCTX-M-175;blaCTX-M-176;blaCTX-M-177;blaCTX-M-41;blaCTX-M-43;blaCTX-M-46;blaCTX-M-52;blaCTX-M-84;blaCTX-M-90;blaCTX-M-91	2139	0	1.15739
blaDHA	1	blaDHA-24	35	0	1.19348
blaESP	1	blaESP-1	4	0	1.33193
blaGES	1	blaGES-25	71	0	1.06393
blaGIM	1	blaGIM-2	248	0	0.992125
blaGOB	1	blaGOB-11	12	0	1.15898
