gene_id	gene_name	total_reads	total_bases	covered_positions	gene_length	percent_coverage	mean_depth	RPKM	TPM
10	aacA-ACI5	54	1694	63	147	42.86	16.41	0.00	0.00
11	aph(3')-Vb	4	133	0	265	0.00	0.00	0.00	0.00
12	aph(3')-Vc	4	190	49	265	18.49	3.88	0.00	0.00
28	ant(2'')-Ia	6	236	0	178	0.00	0.00	0.00	0.00
30	aph(2'')-If	11	297	38	297	12.79	7.82	0.00	0.00
31	aph(3'')-Ia	3	127	0	273	0.00	0.00	0.00	0.00
32	aph(3'')-Ia	2	59	37	273	13.55	1.59	0.00	0.00
33	aph(3'')-Ic	128	4523	105	255	41.18	43.08	0.00	0.00
34	aph(3')-IIIa	31	927	24	265	9.06	4.00	0.00	0.00
45	ant(3'')-Ia	11	297	38	262	14.50	7.82	0.00	0.00
46	aacA-ACI5	3	127	0	147	0.00	0.00	0.00	0.00
47	ant(3'')-Ia	2	59	37	262	14.12	1.59	0.00	0.00
59	ant(2'')-Ia	9	321	97	178	54.49	2.34	0.00	0.00
60	aac(6')-set_A	1	20	20	185	10.81	1.00	0.00	0.00
63	aac(6')-Ib-AKT	15	456	45	185	24.32	1.00	0.00	0.00
67	aac(6')_Strep	3	117	41	166	24.70	2.85	0.00	0.00
70	aacA34	1	26	26	147	17.69	1.00	0.00	0.00
82	aac(3)-VIII	18	632	44	288	15.28	1.98	0.00	0.00
83	aac(3)-I	9	379	24	155	15.48	1.00	0.00	0.00
84	aac(3)-VIa	21	831	80	300	26.67	10.39	0.00	0.00
85	aac(6')-I30	3	114	42	185	22.70	2.71	0.00	0.00
90	aac(6')-Iaf	58	1852	108	184	58.70	13.04	0.00	0.00
91	aac(6')-Iai	2	95	49	189	25.93	1.94	0.00	0.00
95	aac(6')_E963	2	95	49	154	31.82	1.94	0.00	0.00
96	aac(6')-Ib-G	4	133	0	185	0.00	0.00	0.00	0.00
105	aac(2')-IIa	5	100	0	261	0.00	0.00	0.00	0.00
108	aac(3)-Ia	3	106	0	155	0.00	0.00	0.00	0.00
115	ant(6)-Ia	8	303	0	303	0.00	0.00	0.00	0.00
122	aac(6')-Ic	1	26	26	147	17.69	1.00	0.00	0.00
125	aac(6')_Serra	2	45	33	147	22.45	1.36	0.00	0.00
127	aac(6')_Serra	405	14595	32	147	21.77	1.78	0.00	0.00
129	aac(3)-Ic	3	92	24	157	15.29	1.00	0.00	0.00
136	aac(6')-Ib-cr5	4	104	59	185	31.89	1.39	0.00	0.00
137	aph(3')-XV	45	1321	88	265	33.21	15.01	0.00	0.00
138	aac(6')-Il	1	41	41	153	26.80	1.00	0.00	0.00
139	aac(6')-Il	14	330	0	153	0.00	0.00	0.00	0.00
141	aac(6')-Is	235	8790	45	147	30.61	2.02	0.00	0.00
143	aacA37	548	19663	98	134	73.13	9.22	0.00	0.00
144	ant(3'')-IIa	9	289	104	263	39.54	1.00	0.00	0.00
145	ant(3'')-IIa	3	60	20	263	7.60	3.00	0.00	0.00
150	aac(6')-Il	2	99	50	153	32.68	1.98	0.00	0.00
151	aac(6')-Ib-G	4	161	64	185	34.59	2.52	0.00	0.00
152	aac(2')-Id	22	996	80	211	37.91	10.76	0.00	0.00
153	aac(6')-Ib-AKT	47	1523	145	185	78.38	2.89	0.00	0.00
154	aac(6')-Id	419	15635	0	150	0.00	0.00	0.00	0.00
156	ant(2'')-Ia	398	14837	41	178	23.03	3.05	0.00	0.00
157	aacA43	2	42	0	188	0.00	0.00	0.00	0.00
158	aac(3)-IId	2	59	59	287	20.56	1.00	0.00	0.00
159	aac(3)-IIe	3	73	47	287	16.38	1.55	0.00	0.00
160	aac(6')-Ib-G	325	12317	41	185	22.16	3.05	0.00	0.00
162	aac(6')-Ib-G	17	431	0	185	0.00	0.00	0.00	0.00
169	aph(3')-Va	5	176	0	269	0.00	0.00	0.00	0.00
172	ant(2'')-Ia	8	263	60	178	33.71	1.00	0.00	0.00
173	ant(3'')-IIa	1	49	20	263	7.60	1.00	0.00	0.00
175	aph(3'')-Ib	1	20	0	268	0.00	0.00	0.00	0.00
177	aacA-ENT1	6	223	49	183	26.78	2.59	0.00	0.00
