gene_name	gene_family	drug_class	read_count	percent_coverage	mean_depth	tpkm	rpm	confidence
aac(2')-IIa	aac(2')	AMINOGLYCOSIDE	5	7.66284	0.0191571	695.21	0.625128	LOW
aac(2')-Ib	aac(2')	AMINOGLYCOSIDE	6	25.5102	0.0306122	1110.92	0.998929	LOW
aac(2')-Id	aac(2')	AMINOGLYCOSIDE	10	23.6967	0.0473934	1719.9	1.54653	LOW
aac(3)-I	aac(3)	AMINOGLYCOSIDE	2	30.3226	0.0129032	468.258	0.421054	LOW
aac(3)-IId	aac(3)	AMINOGLYCOSIDE	1	11.4983	0.00348432	126.446	0.113699	LOW
aac(3)-IIe	aac(3)	AMINOGLYCOSIDE	3	9.05923	0.010453	379.338	0.341098	LOW
aac(3)-IVb	aac(3)	AMINOGLYCOSIDE	8	18.4211	0.0300752	1091.43	0.981404	LOW
aac(3)-Id	aac(3)	AMINOGLYCOSIDE	1	19.4969	0.00628931	228.239	0.205231	LOW
aac(3)-VIII	aac(3)	AMINOGLYCOSIDE	13	15.625	0.0451389	1638.09	1.47296	LOW
aac(3)-VIa	aac(3)	AMINOGLYCOSIDE	18	16.6667	0.06	2177.4	1.9579	LOW
aac(3)-XI	aac(3)	AMINOGLYCOSIDE	3	25.5034	0.0201342	730.67	0.657014	LOW
aac(6')-31	aac(6')	AMINOGLYCOSIDE	4	23.7838	0.0216216	784.648	0.70555	LOW
aac(6')-35	aac(6')	AMINOGLYCOSIDE	135	27.7778	0.75	27217.5	24.4738	LOW
aac(6')-F72	aac(6')	AMINOGLYCOSIDE	1	25	0.00543478	197.228	0.177346	LOW
aac(6')-IIc	aac(6')	AMINOGLYCOSIDE	6	13.4021	0.0309278	1122.37	1.00923	LOW
aac(6')-Ia	aac(6')	AMINOGLYCOSIDE	747	26.8817	4.01613	145745	131.053	HIGH
aac(6')-Iaa	aac(6')	AMINOGLYCOSIDE	6	34.2466	0.0410959	1491.37	1.34103	LOW
aac(6')-Iae	aac(6')	AMINOGLYCOSIDE	1	10.8696	0.00543478	197.228	0.177346	LOW
aac(6')-Iaf	aac(6')	AMINOGLYCOSIDE	12	27.1739	0.0652174	2366.74	2.12815	LOW
aac(6')-Iag	aac(6')	AMINOGLYCOSIDE	3	29.1667	0.0178571	648.035	0.582709	LOW
aac(6')-Ib'	aac(6')	AMINOGLYCOSIDE	36	11.9048	0.0857143	3110.57	2.797	LOW
aac(6')-Ib-AKT	aac(6')	AMINOGLYCOSIDE	2	23.7838	0.0108108	392.324	0.352775	LOW
aac(6')-Ib-D181Y	aac(6')	AMINOGLYCOSIDE	1	17.8378	0.00540541	196.162	0.176387	LOW
aac(6')-Ib-G	aac(6')	AMINOGLYCOSIDE	11	22.7027	0.0594595	2157.78	1.94026	LOW
aac(6')-Ib-cr11	aac(6')	AMINOGLYCOSIDE	3	10.8108	0.0162162	588.486	0.529162	LOW
aac(6')-Ib-cr5	aac(6')	AMINOGLYCOSIDE	1	19.4595	0.00540541	196.162	0.176387	LOW
aac(6')-Id	aac(6')	AMINOGLYCOSIDE	298	33.3333	1.98667	72096.1	64.8283	MODERATE
aac(6')-Ie_fam	aac(6')	AMINOGLYCOSIDE	1	4.13223	0.00206612	74.9793	0.0674208	LOW
aac(6')-Il	aac(6')	AMINOGLYCOSIDE	2	32.6797	0.0130719	474.379	0.426558	LOW
aac(6')-Is	aac(6')	AMINOGLYCOSIDE	179	34.0136	1.21769	44189.8	39.7352	MODERATE
aac(6')-It	aac(6')	AMINOGLYCOSIDE	175	34.0136	1.19048	43202.3	38.8472	MODERATE
aac(6')-Iu	aac(6')	AMINOGLYCOSIDE	1	25.8503	0.00680272	246.871	0.221984	LOW
aac(6')-set_A	aac(6')	AMINOGLYCOSIDE	1	10.8108	0.00540541	196.162	0.176387	LOW
aac(6')_E111	aac(6')_E111	AMINOGLYCOSIDE	23	29.6552	0.158621	5756.34	5.17606	LOW
aac(6')_E550	aac(6')_E550	AMINOGLYCOSIDE	208	34.4828	1.43448	52057.3	46.8096	MODERATE
aac(6')_E553	aac(6')_E553	AMINOGLYCOSIDE	110	33.557	0.738255	26791.3	24.0905	LOW
aac(6')_E606	aac(6')_E606	AMINOGLYCOSIDE	1	23.6486	0.00675676	245.202	0.220484	LOW
