read_id	gene_name	drug_class	identity	coverage	ref_start	ref_end	frame	complete_gene	concordant
283	blaGIM-2	BETA_LACTAM	1.02941	0.135458	365	399	1	N	N
2184	aac(6')-Ib-G	AMINOGLYCOSIDE	0.984848	0.118919	520	542	-2	N	N
2184	aph(2'')-IVa	AMINOGLYCOSIDE	0.984848	0.0728477	520	542	-2	N	N
2269	aac(6')-Ia	AMINOGLYCOSIDE	1.57895	0.204301	100	138	-1	N	Y
2269	aac(6')-Ia	AMINOGLYCOSIDE	1.35507	0.247312	93	139	-3	N	N
2269	aac(6')-Ia	AMINOGLYCOSIDE	1.57895	0.204301	100	138	-1	N	N
2269	aac(6')-Ia	AMINOGLYCOSIDE	1.34127	0.225806	96	138	-3	N	N
2269	aac(6')-Ia	AMINOGLYCOSIDE	1.80556	0.129032	100	124	-1	N	N
2269	aac(6')-Ia	AMINOGLYCOSIDE	1.75362	0.123656	101	124	-3	N	N
2743	aac(6')_E550	AMINOGLYCOSIDE	0.885057	0.2	176	205	-1	N	N
2828	aac(6')-Ia	AMINOGLYCOSIDE	1.63333	0.107527	101	121	-2	N	N
3215	aacA47	AMINOGLYCOSIDE	0.861111	0.12973	1968	1992	2	N	N
3677	aac(6')-Is	AMINOGLYCOSIDE	1.04762	0.142857	491	512	-2	N	N
4119	aac(6')-Ia	AMINOGLYCOSIDE	1.88	0.134409	89	114	-2	N	Y
4119	aac(6')-Ia	AMINOGLYCOSIDE	1.53571	0.150538	94	122	-3	N	N
4478	aph(3'')-Ic	AMINOGLYCOSIDE	0.959184	0.192157	87	136	-2	N	N
4952	blaGIM-2	BETA_LACTAM	1.15152	0.0876494	365	387	-3	N	N
6835	aac(6')-Ib-G	AMINOGLYCOSIDE	1.07246	0.248649	624	670	3	N	N
6835	aph(2'')-IVa	AMINOGLYCOSIDE	1.07246	0.152318	624	670	3	N	N
