gene_name	drug_class	read_count	rpkm	tpm	coverage_depth	coverage_breadth
aacA-ACI5	AMINOGLYCOSIDE	54	11.99	0.00	0.37	33.33
aph(3')-Vb	AMINOGLYCOSIDE	4	0.49	0.00	0.02	13.96
aph(3')-Vc	AMINOGLYCOSIDE	4	0.49	0.00	0.02	18.49
ant(2'')-Ia	AMINOGLYCOSIDE	6	1.10	0.00	0.03	24.72
aph(2'')-If	AMINOGLYCOSIDE	11	1.21	0.00	0.04	9.76
aph(3'')-Ia	AMINOGLYCOSIDE	3	0.36	0.00	0.01	17.58
aph(3'')-Ia	AMINOGLYCOSIDE	2	0.24	0.00	0.01	13.19
aph(3'')-Ic	AMINOGLYCOSIDE	128	16.38	0.00	0.50	19.61
aph(3')-IIIa	AMINOGLYCOSIDE	31	3.82	0.00	0.12	15.09
ant(3'')-Ia	AMINOGLYCOSIDE	11	1.37	0.00	0.04	11.07
aacA-ACI5	AMINOGLYCOSIDE	3	0.67	0.00	0.02	32.65
ant(3'')-Ia	AMINOGLYCOSIDE	2	0.25	0.00	0.01	13.74
ant(2'')-Ia	AMINOGLYCOSIDE	9	1.65	0.00	0.05	27.53
aac(6')-set_A	AMINOGLYCOSIDE	1	0.18	0.00	0.01	10.81
aac(6')-Ib-AKT	AMINOGLYCOSIDE	15	2.65	0.00	0.08	27.03
aac(6')_Strep	AMINOGLYCOSIDE	3	0.59	0.00	0.02	24.70
aacA34	AMINOGLYCOSIDE	1	0.22	0.00	0.01	17.69
aac(3)-VIII	AMINOGLYCOSIDE	18	2.04	0.00	0.06	15.62
aac(3)-I	AMINOGLYCOSIDE	9	1.89	0.00	0.06	30.32
aac(3)-VIa	AMINOGLYCOSIDE	21	2.28	0.00	0.07	16.67
aac(6')-I30	AMINOGLYCOSIDE	3	0.53	0.00	0.02	22.70
aac(6')-Iaf	AMINOGLYCOSIDE	58	10.29	0.00	0.32	27.17
aac(6')-Iai	AMINOGLYCOSIDE	2	0.35	0.00	0.01	25.93
aac(6')_E963	AMINOGLYCOSIDE	2	0.42	0.00	0.01	31.82
aac(6')-Ib-G	AMINOGLYCOSIDE	4	0.71	0.00	0.02	20.00
aac(2')-IIa	AMINOGLYCOSIDE	5	0.63	0.00	0.02	7.66
aac(3)-Ia	AMINOGLYCOSIDE	3	0.63	0.00	0.02	24.52
ant(6)-Ia	AMINOGLYCOSIDE	8	0.86	0.00	0.03	16.50
aac(6')-Ic	AMINOGLYCOSIDE	1	0.22	0.00	0.01	17.69
aac(6')_Serra	AMINOGLYCOSIDE	2	0.44	0.00	0.01	16.33
aac(6')_Serra	AMINOGLYCOSIDE	405	89.90	0.00	2.76	34.01
aac(3)-Ic	AMINOGLYCOSIDE	3	0.62	0.00	0.02	22.29
aac(6')-Ib-cr5	AMINOGLYCOSIDE	4	0.71	0.00	0.02	19.46
aph(3')-XV	AMINOGLYCOSIDE	45	5.54	0.00	0.17	16.98
aac(6')-Il	AMINOGLYCOSIDE	1	0.21	0.00	0.01	26.80
aac(6')-Il	AMINOGLYCOSIDE	14	2.99	0.00	0.09	16.99
aac(6')-Is	AMINOGLYCOSIDE	235	52.17	0.00	1.60	34.01
aacA37	AMINOGLYCOSIDE	548	133.45	0.00	4.09	37.31
ant(3'')-IIa	AMINOGLYCOSIDE	9	1.12	0.00	0.03	17.87
ant(3'')-IIa	AMINOGLYCOSIDE	3	0.37	0.00	0.01	7.60
aac(6')-Il	AMINOGLYCOSIDE	2	0.43	0.00	0.01	32.68
aac(6')-Ib-G	AMINOGLYCOSIDE	4	0.71	0.00	0.02	27.03
aac(2')-Id	AMINOGLYCOSIDE	22	3.40	0.00	0.10	23.70
aac(6')-Ib-AKT	AMINOGLYCOSIDE	47	8.29	0.00	0.25	27.03
aac(6')-Id	AMINOGLYCOSIDE	419	91.15	0.00	2.79	33.33
ant(2'')-Ia	AMINOGLYCOSIDE	398	72.96	0.00	2.24	28.09
aacA43	AMINOGLYCOSIDE	2	0.35	0.00	0.01	11.17
aac(3)-IId	AMINOGLYCOSIDE	2	0.23	0.00	0.01	11.50
aac(3)-IIe	AMINOGLYCOSIDE	3	0.34	0.00	0.01	9.06
aac(6')-Ib-G	AMINOGLYCOSIDE	325	57.33	0.00	1.76	27.03
aac(6')-Ib-G	AMINOGLYCOSIDE	17	3.00	0.00	0.09	16.22
aph(3')-Va	AMINOGLYCOSIDE	5	0.61	0.00	0.02	14.50
ant(2'')-Ia	AMINOGLYCOSIDE	8	1.47	0.00	0.04	26.40
ant(3'')-IIa	AMINOGLYCOSIDE	1	0.12	0.00	0.00	18.63
aph(3'')-Ib	AMINOGLYCOSIDE	1	0.12	0.00	0.00	7.46
aacA-ENT1	AMINOGLYCOSIDE	6	1.07	0.00	0.03	26.23
aph(6)-Ic	AMINOGLYCOSIDE	3	0.35	0.00	0.01	13.17
aph(3')-Ia	AMINOGLYCOSIDE	8	0.96	0.00	0.03	17.65
aph(6)-Smalt	AMINOGLYCOSIDE	1	0.12	0.00	0.00	8.12
ant(2'')-Ia	AMINOGLYCOSIDE	2	0.37	0.00	0.01	24.72
aac(6')_E606	AMINOGLYCOSIDE	3	0.66	0.00	0.02	23.65
aac(6')-Ib-AKT	AMINOGLYCOSIDE	36	6.35	0.00	0.19	25.95
aac(6')-F72	AMINOGLYCOSIDE	1	0.18	0.00	0.01	25.00
aac(6')-IIc	AMINOGLYCOSIDE	6	1.01	0.00	0.03	13.40
aac(6')_E141	AMINOGLYCOSIDE	2	0.44	0.00	0.01	23.49
aac(6')-Ib-G	AMINOGLYCOSIDE	15	2.65	0.00	0.08	23.78
aac(6')_Entco	AMINOGLYCOSIDE	67	11.95	0.00	0.37	26.23
aac(6')_E553	AMINOGLYCOSIDE	239	52.34	0.00	1.60	33.56
aac(3)-Ih	AMINOGLYCOSIDE	3	0.64	0.00	0.02	24.84
aacA-ENT2	AMINOGLYCOSIDE	607	108.24	0.00	3.32	27.32
aac(6')-Ib'	AMINOGLYCOSIDE	375	29.14	0.00	0.89	11.90
aph(2'')-Ia	AMINOGLYCOSIDE	23	1.56	0.00	0.05	10.42
aph(3')-Ia	AMINOGLYCOSIDE	639	76.66	0.00	2.35	18.38
aac(6')-It	AMINOGLYCOSIDE	406	90.13	0.00	2.76	34.01
ant(2'')-Ia	AMINOGLYCOSIDE	458	83.96	0.00	2.57	28.09
aac(6')-35	AMINOGLYCOSIDE	253	45.87	0.00	1.41	27.78
ant(3'')-IIc	AMINOGLYCOSIDE	4	0.50	0.00	0.02	14.45
aacA-ACI5	AMINOGLYCOSIDE	4	0.89	0.00	0.03	33.33
aph(2'')-IIa	AMINOGLYCOSIDE	1	0.11	0.00	0.00	10.33
aac(3)-XI	AMINOGLYCOSIDE	5	1.10	0.00	0.03	25.50
aac(6')-31	AMINOGLYCOSIDE	8	1.41	0.00	0.04	23.78
aac(6')-Ib-cr4	AMINOGLYCOSIDE	1	0.18	0.00	0.01	16.76
aac(6')_Strep	AMINOGLYCOSIDE	33	6.49	0.00	0.20	28.92
aac(6')_E111	AMINOGLYCOSIDE	98	22.05	0.00	0.68	29.66
aacA-ACI4	AMINOGLYCOSIDE	316	70.63	0.00	2.16	34.25
aac(6')-Iv	AMINOGLYCOSIDE	1	0.22	0.00	0.01	22.45
aac(6')-Ib-G	AMINOGLYCOSIDE	305	53.80	0.00	1.65	27.03
aacA-STR-7	AMINOGLYCOSIDE	19	3.92	0.00	0.12	27.85
