gene_name	gene_family	drug_class	read_count	percent_coverage	mean_depth	tpkm	rpm	confidence
aac(2')-IIa	aac(2')	AMINOGLYCOSIDE	5	7.66284	0.0191571	268.323	0.625128	LOW
aac(2')-Ib	aac(2')	AMINOGLYCOSIDE	6	25.5102	0.0306122	428.77	0.998929	LOW
aac(2')-Id	aac(2')	AMINOGLYCOSIDE	22	23.6967	0.104265	1460.39	3.40236	LOW
aac(3)-I	aac(3)	AMINOGLYCOSIDE	9	30.3226	0.0580645	813.279	1.89474	LOW
aac(3)-IId	aac(3)	AMINOGLYCOSIDE	2	11.4983	0.00696864	97.6061	0.227398	LOW
aac(3)-IIe	aac(3)	AMINOGLYCOSIDE	3	9.05923	0.010453	146.409	0.341098	LOW
aac(3)-IVb	aac(3)	AMINOGLYCOSIDE	18	18.4211	0.0676692	947.807	2.20816	LOW
aac(3)-Ia	aac(3)	AMINOGLYCOSIDE	3	24.5161	0.0193548	271.093	0.631581	LOW
aac(3)-Ic	aac(3)	AMINOGLYCOSIDE	3	22.293	0.0191083	267.64	0.623535	LOW
aac(3)-Id	aac(3)	AMINOGLYCOSIDE	1	19.4969	0.00628931	88.091	0.205231	LOW
aac(3)-Ih	aac(3)	AMINOGLYCOSIDE	3	24.8366	0.0196078	274.637	0.639837	LOW
aac(3)-VIII	aac(3)	AMINOGLYCOSIDE	18	15.625	0.0625	875.405	2.03948	LOW
aac(3)-VIa	aac(3)	AMINOGLYCOSIDE	21	16.6667	0.07	980.453	2.28422	LOW
aac(3)-XI	aac(3)	AMINOGLYCOSIDE	5	25.5034	0.033557	470.016	1.09502	LOW
aac(6')-31	aac(6')	AMINOGLYCOSIDE	8	23.7838	0.0432432	605.685	1.4111	LOW
aac(6')-35	aac(6')	AMINOGLYCOSIDE	253	27.7778	1.40556	19686.9	45.8656	MODERATE
aac(6')-F72	aac(6')	AMINOGLYCOSIDE	1	25	0.00543478	76.1222	0.177346	LOW
aac(6')-I30	aac(6')	AMINOGLYCOSIDE	3	22.7027	0.0162162	227.132	0.529162	LOW
aac(6')-IIc	aac(6')	AMINOGLYCOSIDE	6	13.4021	0.0309278	433.19	1.00923	LOW
aac(6')-Ia	aac(6')	AMINOGLYCOSIDE	2829	26.8817	15.2097	213034	496.317	HIGH
aac(6')-Iaa	aac(6')	AMINOGLYCOSIDE	13	34.2466	0.0890411	1247.15	2.90556	LOW
aac(6')-Iae	aac(6')	AMINOGLYCOSIDE	1	10.8696	0.00543478	76.1222	0.177346	LOW
aac(6')-Iaf	aac(6')	AMINOGLYCOSIDE	58	27.1739	0.315217	4415.08	10.2861	LOW
aac(6')-Iag	aac(6')	AMINOGLYCOSIDE	7	29.1667	0.0416667	583.603	1.35965	LOW
aac(6')-Iai	aac(6')	AMINOGLYCOSIDE	2	25.9259	0.010582	148.217	0.345309	LOW
aac(6')-Ib'	aac(6')	AMINOGLYCOSIDE	375	11.9048	0.892857	12505.8	29.1354	LOW
aac(6')-Ib-AKT	aac(6')	AMINOGLYCOSIDE	12	23.7838	0.0648649	908.528	2.11665	LOW
aac(6')-Ib-D181Y	aac(6')	AMINOGLYCOSIDE	2	17.8378	0.0108108	151.421	0.352775	LOW
aac(6')-Ib-G	aac(6')	AMINOGLYCOSIDE	25	22.7027	0.135135	1892.77	4.40969	LOW
