gene_id	gene_name	total_reads	total_bases	covered_positions	gene_length	percent_coverage	mean_depth	RPKM	TPM
10	aacA-ACI5	37	5045	190	147	129.25	8.85	8.21	5948.45
11	aph(3')-Vb	1	229	68	265	25.66	1.12	0.12	89.18
12	aph(3')-Vc	4	570	49	265	18.49	3.88	0.49	356.73
30	aph(2'')-If	1	753	38	297	12.79	6.61	0.11	79.57
32	aph(3'')-Ia	1	185	37	273	13.55	1.67	0.12	86.57
33	aph(3'')-Ic	135	13611	105	255	41.18	43.21	17.28	12511.61
34	aph(3')-IIIa	11	2833	64	265	24.15	14.76	1.35	980.99
45	ant(3'')-Ia	1	1029	38	262	14.50	9.03	0.12	90.20
46	aacA-ACI5	1	466	48	147	32.65	3.24	0.22	160.77
47	ant(3'')-Ia	1	169	37	262	14.12	1.52	0.12	90.20
59	ant(2'')-Ia	9	945	146	178	82.02	2.16	1.65	1194.93
60	aac(6')-set_A	1	60	20	185	10.81	1.00	0.18	127.75
63	aac(6')-Ib-AKT	4	1345	157	185	84.86	2.86	0.71	510.98
67	aac(6')_Strep	2	373	41	166	24.70	3.03	0.39	284.74
70	aacA34	1	79	26	147	17.69	1.01	0.22	160.77
82	aac(3)-VIII	22	1902	110	288	38.19	5.76	2.49	1805.30
83	aac(3)-I	5	1156	107	155	69.03	3.60	1.05	762.36
84	aac(3)-VIa	24	2517	80	300	26.67	10.49	2.61	1890.64
85	aac(6')-I30	2	281	42	185	22.70	2.23	0.35	255.49
90	aac(6')-Iaf	25	5653	200	184	108.70	9.42	4.43	3211.01
91	aac(6')-Iai	1	221	49	189	25.93	1.50	0.17	125.04
95	aac(6')_E963	1	349	49	154	31.82	2.37	0.21	153.46
96	aac(6')-Ib-G	2	417	68	185	36.76	2.04	0.35	255.49
105	aac(2')-IIa	5	300	20	261	7.66	5.00	0.63	452.74
115	ant(6)-Ia	1	729	87	303	28.71	2.79	0.11	78.00
122	aac(6')-Ic	1	77	26	147	17.69	0.99	0.22	160.77
125	aac(6')_Serra	2	135	33	147	22.45	1.36	0.44	321.54
127	aac(6')_Serra	143	43716	410	147	278.91	35.54	31.74	22989.96
136	aac(6')-Ib-cr5	4	312	81	185	43.78	1.28	0.71	510.98
137	aph(3')-XV	28	4013	88	265	33.21	15.20	3.45	2497.08
138	aac(6')-Il	2	123	41	153	26.80	1.00	0.43	308.93
139	aac(6')-Il	14	990	30	153	19.61	11.00	2.99	2162.50
141	aac(6')-Is	282	26379	188	147	127.89	46.77	62.60	45336.84
143	aacA37	289	58966	560	134	417.91	35.10	70.38	50969.75
145	ant(3'')-IIa	3	180	20	263	7.60	3.00	0.37	269.58
150	aac(6')-Il	2	297	50	153	32.68	1.98	0.43	308.93
151	aac(6')-Ib-G	2	483	64	185	34.59	2.52	0.35	255.49
152	aac(2')-Id	12	2988	177	211	83.89	5.63	1.86	1344.06
153	aac(6')-Ib-AKT	27	4555	524	185	283.24	2.90	4.76	3449.15
154	aac(6')-Id	411	46879	353	150	235.33	44.27	89.41	64754.52
156	ant(2'')-Ia	37	44979	269	178	151.12	55.74	6.78	4912.48
157	aacA43	2	126	21	188	11.17	2.00	0.35	251.42
158	aac(3)-IId	2	178	59	287	20.56	1.01	0.23	164.69
159	aac(3)-IIe	3	219	47	287	16.38	1.55	0.34	247.04
160	aac(6')-Ib-G	37	36725	354	185	191.35	34.58	6.53	4726.61
162	aac(6')-Ib-G	12	1293	30	185	16.22	14.37	2.12	1532.95
169	aph(3')-Va	2	534	113	269	42.01	1.58	0.24	175.71
172	ant(2'')-Ia	2	621	172	178	96.63	1.20	0.37	265.54
173	ant(3'')-IIa	2	147	49	263	18.63	1.00	0.25	179.72
175	aph(3'')-Ib	1	60	20	268	7.46	1.00	0.12	88.18
177	aacA-ENT1	5	675	97	183	53.01	2.32	0.89	645.71
183	aph(6)-Ic	3	315	37	281	13.17	2.84	0.35	252.31
189	aph(3')-Ia	2	627	71	272	26.10	2.94	0.24	173.77
195	aph(6)-Smalt	1	66	22	271	8.12	1.00	0.12	87.21
201	ant(2'')-Ia	1	316	44	178	24.72	2.39	0.18	132.77
208	aac(6')_E606	1	333	59	148	39.86	1.88	0.22	159.68
213	aac(6')-Ib-AKT	2	3248	81	185	43.78	13.37	0.35	255.49
215	aac(6')-F72	2	138	46	184	25.00	1.00	0.35	256.88
218	aac(6')-IIc	6	408	46	194	23.71	2.96	1.01	730.92
237	aac(6')-Ib-G	17	1466	78	185	42.16	6.26	3.00	2171.68
238	aac(6')_Entco	65	6408	195	183	106.56	10.95	11.59	8394.25
242	aac(6')_E553	171	26084	118	149	79.19	73.68	37.45	27122.48
245	aacA-ENT2	269	67599	321	183	175.41	70.20	47.97	34739.27
247	aac(6')-Ib'	64	38195	269	420	64.05	47.33	4.97	3601.22
